City_ID,City_Name,City_CountryCode,City_IATACode,City_Latitude,City_Longitude,City_RadiusOverrideMI
1669,"Dallas, Texas, United States",US,DFW,32.7833296630,-96.8008220479,18.0
193262,"Florida Gulf Coast, Florida, United States of America",US,MIA,27.5432049280,-82.9196374219,70.0
2828,"Honolulu, Oahu, Hawaii, United States",US,HNL,21.3069440000,-157.8583330000,6.0
2853,"Houston, Texas, United States",US,HOU,29.7627780000,-95.3830560000,16.0
210821,"Las Vegas, Nevada, United States of America",US,LAS,36.1254699334,-115.1678085449,16.0
3910,"Los Angeles, California, United States",US,LAX,34.0522340000,-118.2436850000,17.0
4502,"Manhattan, Kansas, United States",US,MHK,39.1834834867,-96.5734462744,5.0
232971,"Manhattan, New York, United States",US,NYC,40.7507750462,-73.9853736348,3.5
192926,"Miami Beach, Florida, United States of America",US,MIA,25.8209556277,-80.0808132800,6.0
4515,"Miami, Florida, United States of America",US,MIA,25.7621399473,-80.2040546744,16.0
209129,"Mid Beach, Miami Beach, Florida, United States of America",US,MIA,25.8143435889,-80.1220876508,1.0
806,"Nashville, Tennessee, United States",US,BNA,36.1594640219,-86.7746884082,8.0
4765,"New Orleans, Louisiana, United States",US,MSY,29.9647220000,-90.0705560000,16.0
5217,"New York City, New York, United States of America",US,NYC,40.7507750462,-73.9853736348,4.0
5418,"Orlando, United States",US,ORL,28.5336110000,-81.3866670000,30.0
5672,"Philadelphia, Pennsylvania, United States",US,PHL,39.9523350000,-75.1637890000,12.0
6538,"San Francisco, United States",US,SFO,37.6918430825,-122.4475674658,20.0
6438,"Savannah, Georgia, United States",US,SAV,32.0835410000,-81.0998340000,17.0
6508,"Seattle, Washington, United States",US,SEA,47.6062090000,-122.3320710000,12.0
210850,"Washington D.C., Washington, District of Columbia, United States of America",US,WAS,38.9012870000,-77.0285800000,15.0
7710,"Can Tho, Vietnam",VN,VCA,10.0326851941,105.7488805396,6.0
1606,"Da Nang, Vietnam",VN,DAD,16.0527595316,108.2187728467,10.0
7724,"Dong Hoi, Vietnam",VN,VDH,17.5093521640,106.5873742645,3.0
2687,"Hanoi, Vietnam",VN,HAN,21.0181793382,105.8399048574,8.0
6560,"Ho Chi Minh City, Vietnam",VN,SGN,10.8194522428,106.6291736929,13.0
232998,"Hoi An, Vietnam",VN,DAD,15.8794792539,108.3315820952,6.0
232933,"Ninh Van Bay, Vietnam",VN,CXR,12.3711269619,109.2378358305,8.0
7551,"Qui Nhon, Vietnam",VN,UIH,13.7774483949,109.2130004126,6.0
